dataset,path,label,split,video_id,frame_num,width,height,channels,brightness_mean,contrast_std,saturation_mean,sharpness_laplacian_var,edge_density,entropy_bits,jpeg_bytes
original,testing/flip/0001_000000020.jpg,flip,testing,0001,20,1080,1920,3,0.4652371323529412,0.23428502938149864,0.2396419601791334,597.8551993131764,0.07874228395061729,7.270855051724052,360695
original,testing/flip/0002_000000012.jpg,flip,testing,0002,12,1080,1920,3,0.5492801909343985,0.25434295884654234,0.17177062719377875,434.4130039008916,0.055401234567901234,7.3626613626205994,299655
original,testing/flip/0002_000000013.jpg,flip,testing,0002,13,1080,1920,3,0.5381004958696443,0.24690497029245262,0.1770460031620673,458.3575307032083,0.05887345679012346,7.342984898898185,307808
original,testing/flip/0002_000000015.jpg,flip,testing,0002,15,1080,1920,3,0.49241425918361176,0.23299244570630553,0.19589464566690876,450.06584319058646,0.05619598765432099,7.310909260141868,299937
original,testing/flip/0002_000000017.jpg,flip,testing,0002,17,1080,1920,3,0.47446106610082306,0.22433252501322268,0.21283846601912368,453.2667846316658,0.05816358024691358,7.233671998674507,307731
original,testing/flip/0003_000000005.jpg,flip,testing,0003,5,1080,1920,3,0.547814614348826,0.2590484477238038,0.18671163723977247,783.017358070178,0.096875,7.307283340494507,394555
original,testing/flip/0003_000000008.jpg,flip,testing,0003,8,1080,1920,3,0.5468405349794239,0.259903933535295,0.18702177892762045,795.7040416085582,0.09672067901234568,7.321631310541148,396788
original,testing/flip/0003_000000022.jpg,flip,testing,0003,22,1080,1920,3,0.4835840444202372,0.23305212471961007,0.22869890954066813,512.9975953167867,0.07825617283950617,7.165894017928677,347271
original,testing/flip/0003_000000025.jpg,flip,testing,0003,25,1080,1920,3,0.495390025493222,0.22997143078131846,0.23204145674473492,289.8057507427888,0.04594907407407407,7.034215316860613,274031
original,testing/flip/0004_000000006.jpg,flip,testing,0004,6,1080,1920,3,0.5433719230361898,0.2531276760587194,0.1829982487593803,469.4148070939429,0.07797839506172839,7.241017237792326,332756
original,testing/flip/0004_000000013.jpg,flip,testing,0004,13,1080,1920,3,0.5425679239288308,0.2653890168229936,0.18030575602154442,365.6394252362445,0.06598765432098766,7.3458100436247316,309282
original,testing/flip/0004_000000014.jpg,flip,testing,0004,14,1080,1920,3,0.5394560733629872,0.26387535411034513,0.18111399706487533,332.5028163565363,0.06422067901234568,7.347656547384453,300529
