path,label,video_id,frame_num,split,width,height,mask_fraction,source_sha256,clean_sha256,source_bytes,clean_bytes
testing/flip/0001_000000020.jpg,flip,0001,20,testing,1080,1920,0.7123765432098765,d565e4ab10ad4242f6ed2cee31a631e13a50c49abecbe227c601cb8e69b06862,b017a97cc2d30c573d85860eb1210b0e2703867e99f356effb8d0576c5907cad,360695,194360
testing/flip/0002_000000012.jpg,flip,0002,12,testing,1080,1920,0.5692978395061729,2e8497d9f766c82d2d040965bbdc767713489200267f6d6c0d560ff5c61a088f,9d172185e4cdf1b86df797ea65a1ae300461d79c79a3e98a4a5b3eca901bcbe2,299655,221347
testing/flip/0002_000000013.jpg,flip,0002,13,testing,1080,1920,0.5774768518518518,2d2c65d4ee6dea6a3b0fd86517d30c927e8cca5f9b078cc08bd05a29a57c8cfd,c532ef22dcc2657c14073e96c26e0dee4362067f07aa44d6f3246c720b149d4d,307808,228987
testing/flip/0002_000000015.jpg,flip,0002,15,testing,1080,1920,0.6039351851851852,4813ad96486cb9fb0944061e6bd35edd49945b9379405d739738cac6d4d7ed55,5a4694b673c5c6ce2a7de42c9274683199366afcbd44917177e54419ff067d9f,299937,225042
testing/flip/0002_000000017.jpg,flip,0002,17,testing,1080,1920,0.6862114197530864,a743a9ece0aeb115916ae5867ae0f75dfc323bc98d4a5ec976ae7cd65816d118,7c6de449c7f4c92c5caaf39b6197140216c40001bd536ea11f2f0f7b7005192a,307731,216282
testing/flip/0003_000000005.jpg,flip,0003,5,testing,1080,1920,0.6101234567901235,34e316bfd6a3babcbb0bb75c90b1511a1ae1c0f166511eed60215e577e416d1a,3ee05f8b36b1022755fc3ca55c0714c12c1b3e31896391fe4788740b47da175c,394555,244901
testing/flip/0003_000000008.jpg,flip,0003,8,testing,1080,1920,0.5998842592592593,00fe3efc3425b6deaed9868c0075f57593989c8c391a2f75657591ca275c2a07,50bdc0c37b7ebe8682c41fdad38d58fd6ae9f8eb30c0c071c5f30488c3ef3578,396788,249390
testing/flip/0003_000000022.jpg,flip,0003,22,testing,1080,1920,0.7014043209876544,a045a4f2ae1b2fc0b56b5e30750c8128de5874fe9a33d202b6d2b086c1babfb5,fc074c1cd8bb8f7e752df8d99861a6fc49855b551ae379e4ccd00003d395bc30,347271,204738
testing/flip/0003_000000025.jpg,flip,0003,25,testing,1080,1920,0.781466049382716,5321c8dabb5e1831472b2e271c209e9d009be0fa454769cd0a83f8f41ea1f228,a8c9adcc53cd4f80d4392cdadb9165168705071917bb51d515fb89c0f2aa4152,274031,160075
testing/flip/0004_000000006.jpg,flip,0004,6,testing,1080,1920,0.6229089506172839,bd30f53ab3b29e153b5410df1af324dd821226fc59cf72bbdeb6774421c0d990,a5cb15dc8662e29d615840fc1a6e2b19e99914a9438a016ac72170d72443f079,332756,215097
