epoch,train_loss,validation_loss,validation_f1,validation_precision,validation_recall,validation_accuracy,validation_tn,validation_fp,validation_fn,validation_tp
1,0.5209478298698473,0.5645077630066971,0.7429643527204502,0.6875,0.8081632653061225,0.7133891213389121,143,90,47,198
2,0.4015540122798991,0.5556390021760095,0.5707070707070707,0.7483443708609272,0.46122448979591835,0.6443514644351465,195,38,132,113
3,0.3487521589985711,0.5572876544302976,0.7246963562753036,0.7188755020080321,0.7306122448979592,0.7154811715481172,163,70,66,179
4,0.31667463221395525,0.7968637550475707,0.7321131447587355,0.6179775280898876,0.8979591836734694,0.6631799163179917,97,136,25,220
5,0.28206736894174556,0.6764200118109273,0.7084148727984344,0.6804511278195489,0.7387755102040816,0.6882845188284519,148,85,64,181
6,0.2532329894096251,0.82446652837877,0.8075601374570447,0.6973293768545994,0.9591836734693877,0.7656903765690377,131,102,10,235
7,0.21850948885877305,1.784758058614312,0.7435508345978755,0.5917874396135265,1.0,0.6464435146443515,64,169,0,245
8,0.19310126462201962,0.7417649029750205,0.7262357414448669,0.6797153024911032,0.7795918367346939,0.698744769874477,143,90,54,191
9,0.20436527921799708,0.7526178105449827,0.7523277467411545,0.6917808219178082,0.8244897959183674,0.7217573221757322,143,90,43,202
10,0.20195228577656682,0.9293462361626047,0.7689655172413793,0.6656716417910448,0.9102040816326531,0.7196652719665272,121,112,22,223
11,0.14773605773254622,0.832790236631759,0.8035714285714286,0.7142857142857143,0.9183673469387755,0.7698744769874477,143,90,20,225
12,0.13686665332055764,1.4966559231312455,0.7765451664025357,0.6347150259067358,1.0,0.7050209205020921,92,141,0,245
13,0.12833713446602676,0.5463405410490275,0.8534798534798534,0.7740863787375415,0.9510204081632653,0.8326359832635983,165,68,12,233
14,0.09944712457051472,0.724444446796902,0.8134991119005328,0.720125786163522,0.9346938775510204,0.7803347280334728,144,89,16,229
15,0.09516078970991582,1.0940055468082661,0.5227272727272727,0.8598130841121495,0.37551020408163266,0.6485355648535565,218,15,153,92
16,0.08459794209139225,0.6435218091808633,0.7152941176470589,0.8444444444444444,0.6204081632653061,0.7468619246861925,205,28,93,152
17,0.08879328638221777,1.320243446413568,0.7765451664025357,0.6347150259067358,1.0,0.7050209205020921,92,141,0,245
18,0.07911842688528846,0.6482824750583634,0.7738095238095238,0.752895752895753,0.7959183673469388,0.7615062761506276,169,64,50,195
19,0.08756781987604552,0.7999227520733074,0.8092691622103387,0.7183544303797469,0.926530612244898,0.7761506276150628,144,89,18,227
20,0.0611528221833108,1.2233573562508473,0.7568438003220612,0.625,0.9591836734693877,0.6841004184100419,92,141,10,235
21,0.0675531135582002,0.6329213181339111,0.6909975669099757,0.8554216867469879,0.5795918367346938,0.7343096234309623,209,24,103,142
22,0.058129483874782124,0.9937275473546445,0.5266106442577031,0.8392857142857143,0.3836734693877551,0.6464435146443515,215,18,151,94
23,0.0578696218415581,0.8361038498221955,0.7903525046382189,0.7244897959183674,0.8693877551020408,0.7635983263598326,152,81,32,213
24,0.05051437532577893,0.7118685365214683,0.7381974248927039,0.7782805429864253,0.7020408163265306,0.7447698744769874,184,49,73,172
25,0.03840771423752031,1.380426681814832,0.7765451664025357,0.6347150259067358,1.0,0.7050209205020921,92,141,0,245
26,0.03527474799266429,0.6126978594340212,0.7754318618042226,0.7318840579710145,0.8244897959183674,0.7552301255230126,159,74,43,202
27,0.036891288527889934,0.8172735681564441,0.7710371819960861,0.7406015037593985,0.8040816326530612,0.7552301255230126,164,69,48,197
28,0.0443626034191285,1.2718113970175136,0.7648,0.6289473684210526,0.9755102040816327,0.6924686192468619,92,141,6,239
29,0.056164294559130974,1.1412190852303816,0.5555555555555556,0.8695652173913043,0.40816326530612246,0.6652719665271967,218,15,145,100
30,0.042374569251199125,1.2558067939828723,0.7927031509121062,0.6675977653631285,0.9755102040816327,0.7384937238493724,114,119,6,239
