bucket,ssim,dhash,phash,path_a,path_b,sequence_a,sequence_b,label_a,label_b
same_sequence_cross_split,0.9999993053355317,0,0,testing/notflip/0001_000000004.jpg,training/notflip/0001_000000003.jpg,notflip__0001,notflip__0001,notflip,notflip
same_sequence_cross_split,0.9999986918783903,0,0,testing/notflip/0001_000000002.jpg,training/notflip/0001_000000003.jpg,notflip__0001,notflip__0001,notflip,notflip
same_sequence_cross_split,0.9999977542760324,0,0,testing/notflip/0041_000000003.jpg,training/notflip/0041_000000002.jpg,notflip__0041,notflip__0041,notflip,notflip
same_sequence_cross_split,0.9999848220229273,0,0,testing/notflip/0016_000000001.jpg,training/notflip/0016_000000003.jpg,notflip__0016,notflip__0016,notflip,notflip
same_sequence_cross_split,0.9999829684084407,0,0,testing/notflip/0016_000000001.jpg,training/notflip/0016_000000002.jpg,notflip__0016,notflip__0016,notflip,notflip
same_sequence_cross_split,0.9999802623038753,0,0,testing/notflip/0001_000000002.jpg,training/notflip/0001_000000001.jpg,notflip__0001,notflip__0001,notflip,notflip
same_sequence_cross_split,0.9999799235805478,0,0,testing/notflip/0001_000000004.jpg,training/notflip/0001_000000001.jpg,notflip__0001,notflip__0001,notflip,notflip
same_sequence_cross_split,0.9999775026721136,0,0,testing/notflip/0041_000000001.jpg,training/notflip/0041_000000002.jpg,notflip__0041,notflip__0041,notflip,notflip
same_sequence_cross_split,0.9999229441844223,0,0,testing/flip/0063_000000014.jpg,training/flip/0063_000000013.jpg,flip__0063,flip__0063,flip,flip
same_sequence_cross_split,0.999897405840798,0,0,testing/flip/0016_000000008.jpg,training/flip/0016_000000009.jpg,flip__0016,flip__0016,flip,flip
same_sequence_cross_split,0.9998884255383078,0,0,testing/flip/0063_000000011.jpg,training/flip/0063_000000010.jpg,flip__0063,flip__0063,flip,flip
same_sequence_cross_split,0.9998864607736834,0,0,testing/notflip/0006_000000021.jpg,training/notflip/0006_000000020.jpg,notflip__0006,notflip__0006,notflip,notflip
same_sequence_cross_split,0.9998818396192414,0,0,testing/flip/0003_000000005.jpg,training/flip/0003_000000006.jpg,flip__0003,flip__0003,flip,flip
same_sequence_cross_split,0.9998785265555934,0,0,testing/notflip/0006_000000023.jpg,training/notflip/0006_000000024.jpg,notflip__0006,notflip__0006,notflip,notflip
same_sequence_cross_split,0.9998726060973375,0,0,testing/notflip/0006_000000025.jpg,training/notflip/0006_000000026.jpg,notflip__0006,notflip__0006,notflip,notflip
same_sequence_cross_split,0.9998233839224074,0,0,testing/flip/0003_000000008.jpg,training/flip/0003_000000007.jpg,flip__0003,flip__0003,flip,flip
same_sequence_cross_split,0.9970116193114698,2,0,testing/notflip/0048_000000025.jpg,training/notflip/0048_000000024.jpg,notflip__0048,notflip__0048,notflip,notflip
same_sequence_cross_split,0.9970073185143005,0,0,testing/notflip/0019_000000027.jpg,training/notflip/0019_000000026.jpg,notflip__0019,notflip__0019,notflip,notflip
