split,label,path,filename,video_id,frame_num,width,height,mode,format,size_bytes,sha256,read_error
testing,flip,testing/flip/0001_000000020.jpg,0001_000000020.jpg,0001,20,1080,1920,RGB,JPEG,360695,d565e4ab10ad4242f6ed2cee31a631e13a50c49abecbe227c601cb8e69b06862,
testing,flip,testing/flip/0002_000000012.jpg,0002_000000012.jpg,0002,12,1080,1920,RGB,JPEG,299655,2e8497d9f766c82d2d040965bbdc767713489200267f6d6c0d560ff5c61a088f,
testing,flip,testing/flip/0002_000000013.jpg,0002_000000013.jpg,0002,13,1080,1920,RGB,JPEG,307808,2d2c65d4ee6dea6a3b0fd86517d30c927e8cca5f9b078cc08bd05a29a57c8cfd,
testing,flip,testing/flip/0002_000000015.jpg,0002_000000015.jpg,0002,15,1080,1920,RGB,JPEG,299937,4813ad96486cb9fb0944061e6bd35edd49945b9379405d739738cac6d4d7ed55,
testing,flip,testing/flip/0002_000000017.jpg,0002_000000017.jpg,0002,17,1080,1920,RGB,JPEG,307731,a743a9ece0aeb115916ae5867ae0f75dfc323bc98d4a5ec976ae7cd65816d118,
testing,flip,testing/flip/0003_000000005.jpg,0003_000000005.jpg,0003,5,1080,1920,RGB,JPEG,394555,34e316bfd6a3babcbb0bb75c90b1511a1ae1c0f166511eed60215e577e416d1a,
testing,flip,testing/flip/0003_000000008.jpg,0003_000000008.jpg,0003,8,1080,1920,RGB,JPEG,396788,00fe3efc3425b6deaed9868c0075f57593989c8c391a2f75657591ca275c2a07,
testing,flip,testing/flip/0003_000000022.jpg,0003_000000022.jpg,0003,22,1080,1920,RGB,JPEG,347271,a045a4f2ae1b2fc0b56b5e30750c8128de5874fe9a33d202b6d2b086c1babfb5,
testing,flip,testing/flip/0003_000000025.jpg,0003_000000025.jpg,0003,25,1080,1920,RGB,JPEG,274031,5321c8dabb5e1831472b2e271c209e9d009be0fa454769cd0a83f8f41ea1f228,
testing,flip,testing/flip/0004_000000006.jpg,0004_000000006.jpg,0004,6,1080,1920,RGB,JPEG,332756,bd30f53ab3b29e153b5410df1af324dd821226fc59cf72bbdeb6774421c0d990,
testing,flip,testing/flip/0004_000000013.jpg,0004_000000013.jpg,0004,13,1080,1920,RGB,JPEG,309282,bf1f1337b7a2d89313755f4cac1b7582a92efd55a214890448666b0009bb3403,
testing,flip,testing/flip/0004_000000014.jpg,0004_000000014.jpg,0004,14,1080,1920,RGB,JPEG,300529,79ac7ce8e4606e08d1c0e259ce943b8c4857252e20355a4a6a2d4cb54c8cb469,
testing,flip,testing/flip/0004_000000027.jpg,0004_000000027.jpg,0004,27,1080,1920,RGB,JPEG,300314,92279f524bf950bced84fa38f37998cef09dc498a9f5f564309eee3c5af5706b,
testing,flip,testing/flip/0005_000000003.jpg,0005_000000003.jpg,0005,3,1080,1920,RGB,JPEG,340970,270e91b1cfa7af8d89ec21e194ff8aa4cbbef16084b41c43162f16d799ed9de3,
testing,flip,testing/flip/0005_000000008.jpg,0005_000000008.jpg,0005,8,1080,1920,RGB,JPEG,391868,46934c0f54229233dda3e6cf9919024b8dbdc3f8bb329cb311c2c924d3e57e7d,
testing,flip,testing/flip/0005_000000018.jpg,0005_000000018.jpg,0005,18,1080,1920,RGB,JPEG,308646,9c905e46ce26903731fbfab17ebde9e7b6260a29459da018dab94d91ea71504e,
testing,flip,testing/flip/0005_000000023.jpg,0005_000000023.jpg,0005,23,1080,1920,RGB,JPEG,330245,ab68045dafdcac6b0eb4d17f75ab8e32abb48ead56f52ddef8cd317667066c29,
testing,flip,testing/flip/0005_000000028.jpg,0005_000000028.jpg,0005,28,1080,1920,RGB,JPEG,285560,3e94a6f5c4774f44ac96c887b381a36f4ecd904647e2b62d98e9e1cd85506400,
testing,flip,testing/flip/0006_000000001.jpg,0006_000000001.jpg,0006,1,1080,1920,RGB,JPEG,291943,c05c5428222217253e2e0d4766bf28aa9f2040e0a216af4161aca42e61bfcff4,
testing,flip,testing/flip/0006_000000006.jpg,0006_000000006.jpg,0006,6,1080,1920,RGB,JPEG,299163,43111104878aefb087e8240159c171eee950bf33b37d43985f816a81957d567e,
testing,flip,testing/flip/0006_000000008.jpg,0006_000000008.jpg,0006,8,1080,1920,RGB,JPEG,303318,806fece9f5bfe5bc520384ef2c4e602e3153a75299795defa03f456d1ea4c142,
testing,flip,testing/flip/0006_000000012.jpg,0006_000000012.jpg,0006,12,1080,1920,RGB,JPEG,297542,de78197a93964bf68c2ee9022d011a4f4971f17eeaa77a9523477012b63c6de0,
testing,flip,testing/flip/0006_000000021.jpg,0006_000000021.jpg,0006,21,1080,1920,RGB,JPEG,296033,ed96537c03c94a15bc0c30d525c3302fff6e00a5ec70264b975ade613c442b35,
testing,flip,testing/flip/0006_000000022.jpg,0006_000000022.jpg,0006,22,1080,1920,RGB,JPEG,303494,8f4d63ced1e300921a9eb08259c6910c1655a6b464e7511ddb7ce06330eeba99,
testing,flip,testing/flip/0006_000000024.jpg,0006_000000024.jpg,0006,24,1080,1920,RGB,JPEG,318268,5a138e4ae63fc46def0f4d5591963375cf46592f12a0d2e87d4b4380a32b80ab,
testing,flip,testing/flip/0006_000000025.jpg,0006_000000025.jpg,0006,25,1080,1920,RGB,JPEG,325771,9b8c4f5242d1aba1881c546a4f7487512554003a69ed40756d0cc1832a465083,
testing,flip,testing/flip/0006_000000030.jpg,0006_000000030.jpg,0006,30,1080,1920,RGB,JPEG,331852,d14f73e31dc96bc0e954242b61d79ac3adc290f8bc54fae27ba81af6ce193702,
