dedup_group_id,keep,path,label,video_id,sequence_id,frame_num,split,sha256
1,1,training/notflip/0002_000000001.jpg,notflip,0002,notflip__0002,1,training,08316d41e08de61216647466d534e76cd0f733042a86978550ae8e5d513f5f6b
1,0,training/notflip/0002_000000002.jpg,notflip,0002,notflip__0002,2,training,b67e3e419b79a78bad21285443fda8df4504396611a4e1112d13edf35cf95848
1,0,testing/notflip/0002_000000003.jpg,notflip,0002,notflip__0002,3,testing,8092c97b30243d06642fa1d529541210f4226bd6277ec2a04a7693ef4c939405
1,0,training/notflip/0002_000000004.jpg,notflip,0002,notflip__0002,4,training,81fd95cb6878dfd855fe090bf288c42c4197680a99b2d94a5539a215738f56b8
1,0,training/notflip/0002_000000005.jpg,notflip,0002,notflip__0002,5,training,4210f7b8c2a41bc68602b80e55a40daa262e1c1f25b35f0a8a1215da176003d1
1,0,testing/notflip/0002_000000006.jpg,notflip,0002,notflip__0002,6,testing,5a6f48ea1cfac85a98c8e649df1746bbfa56bd8bd543017d40f1d648849a909e
1,0,training/notflip/0002_000000007.jpg,notflip,0002,notflip__0002,7,training,5190e3b79e4e4c0620f904d77292797bafa304adb8eba97d7628732f3b20c28a
1,0,testing/notflip/0002_000000008.jpg,notflip,0002,notflip__0002,8,testing,a069c261f904abb7db3f0575ab64089f132861681aa7b50cc8ab2b21504a54e4
1,0,training/notflip/0002_000000009.jpg,notflip,0002,notflip__0002,9,training,c9603ff72eaf970e9e4f110b170a2f40af14a045f3a08c689a23c01a2236f446
1,0,training/notflip/0002_000000010.jpg,notflip,0002,notflip__0002,10,training,b824f84fb47710f6f01628584f0b4a8af5d153da015481b729bc5aff0ab89661
1,0,training/notflip/0002_000000011.jpg,notflip,0002,notflip__0002,11,training,aa586118f6607f03c2dc2cbfee475f934a5408962bc426f7ef0f973674bccaf1
1,0,testing/notflip/0002_000000012.jpg,notflip,0002,notflip__0002,12,testing,7f6c5c713082fbd0130ba4e5d864bb508897b43e0a2a0414097cd6e22024531c
1,0,training/notflip/0002_000000013.jpg,notflip,0002,notflip__0002,13,training,099292b35f8480dafb107dd4c7840f4e383ce00b2085ebd60add0e6ef409b2de
1,0,training/notflip/0002_000000014.jpg,notflip,0002,notflip__0002,14,training,0e136cd6e7efb56653f953d55d1447b37842612fbea1d5b4636f38f8c175c7e9
1,0,testing/notflip/0002_000000015.jpg,notflip,0002,notflip__0002,15,testing,e042d3ffd83d47bdfb1f5d18765db7835505645eac76bd2e32505bcd647f1e42
1,0,training/notflip/0002_000000016.jpg,notflip,0002,notflip__0002,16,training,6e31a47c2ab53a98f38a1071d18c4696d6c76d43cf578003c4216b469223bdc8
1,0,training/notflip/0002_000000017.jpg,notflip,0002,notflip__0002,17,training,4244515e29d49bbc60f8e845aef75b838b19b0196dc35c012c86b581a19804b8
1,0,training/notflip/0002_000000018.jpg,notflip,0002,notflip__0002,18,training,9ef8610f9446ff2f120a57e66c9e3c7416ffa05c6f3f7ec73ed691218e4cc471
1,0,training/notflip/0002_000000019.jpg,notflip,0002,notflip__0002,19,training,c49fac5732a6bbeb8f7050edf92b9de35b87169d6b002cabe5ab1bbd91eb476e
