path,label,split,video_id,frame_num,width,height,mask_fraction,changed,original_bytes,cleaned_bytes
testing/flip/0001_000000020.jpg,flip,testing,0001,20,1080,1920,0.3244396219135802,1,360695,293173
testing/flip/0002_000000012.jpg,flip,testing,0002,12,1080,1920,0.18042390046296297,1,299655,247231
testing/flip/0002_000000013.jpg,flip,testing,0002,13,1080,1920,0.19072868441358024,1,307808,253875
testing/flip/0002_000000015.jpg,flip,testing,0002,15,1080,1920,0.19203993055555554,1,299937,246554
testing/flip/0002_000000017.jpg,flip,testing,0002,17,1080,1920,0.23862702546296297,1,307731,245989
testing/flip/0003_000000005.jpg,flip,testing,0003,5,1080,1920,0.1699686535493827,1,394555,344710
testing/flip/0003_000000008.jpg,flip,testing,0003,8,1080,1920,0.1700323109567901,1,396788,347112
testing/flip/0003_000000022.jpg,flip,testing,0003,22,1080,1920,0.321694637345679,1,347271,296612
testing/flip/0003_000000025.jpg,flip,testing,0003,25,1080,1920,0.38516782407407407,1,274031,218694
testing/flip/0004_000000006.jpg,flip,testing,0004,6,1080,1920,0.2644184027777778,1,332756,284303
testing/flip/0004_000000013.jpg,flip,testing,0004,13,1080,1920,0.20086467978395062,1,309282,255290
testing/flip/0004_000000014.jpg,flip,testing,0004,14,1080,1920,0.22095437885802469,1,300529,250407
testing/flip/0004_000000027.jpg,flip,testing,0004,27,1080,1920,0.46802179783950615,1,300314,233289
testing/flip/0005_000000003.jpg,flip,testing,0005,3,1080,1920,0.2265673225308642,1,340970,289595
testing/flip/0005_000000008.jpg,flip,testing,0005,8,1080,1920,0.23298900462962963,1,391868,331418
testing/flip/0005_000000018.jpg,flip,testing,0005,18,1080,1920,0.20889371141975308,1,308646,253785
testing/flip/0005_000000023.jpg,flip,testing,0005,23,1080,1920,0.40383921682098767,1,330245,258228
testing/flip/0005_000000028.jpg,flip,testing,0005,28,1080,1920,0.41213493441358023,1,285560,222678
testing/flip/0006_000000001.jpg,flip,testing,0006,1,1080,1920,0.3027334104938272,1,291943,235876
testing/flip/0006_000000006.jpg,flip,testing,0006,6,1080,1920,0.3199754050925926,1,299163,237200
testing/flip/0006_000000008.jpg,flip,testing,0006,8,1080,1920,0.3122776813271605,1,303318,240336
testing/flip/0006_000000012.jpg,flip,testing,0006,12,1080,1920,0.32405815972222224,1,297542,234054
testing/flip/0006_000000021.jpg,flip,testing,0006,21,1080,1920,0.3360175540123457,1,296033,231819
testing/flip/0006_000000022.jpg,flip,testing,0006,22,1080,1920,0.35824411651234567,1,303494,237087
testing/flip/0006_000000024.jpg,flip,testing,0006,24,1080,1920,0.3741251929012346,1,318268,247831
